Topic,Value
science,"""[{
        """"key"""": """"1"""",
        """"title"""": """"The Power of Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=2Yfrj2YhT9E""""
      },
      {
        """"key"""": """"2"""",
        """"title"""": """"How to Learn Anything: The Feynman Technique"""",
        """"link"""": """"https://www.youtube.com/watch?v=_f-qkGJBPts""""
      },
      {
        """"key"""": """"3"""",
        """"title"""": """"The Science of Learning: How We Learn"""",
        """"link"""": """"https://www.youtube.com/watch?v=Kw-Ri-qaYyk""""
      },
      {
        """"key"""": """"4"""",
        """"title"""": """"The Importance of Early Childhood Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=3Tqw_QDRmkE""""
      },
      {
        """"key"""": """"5"""",
        """"title"""": """"The Future of Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=dzcHffDgKvM""""
      },
      {
        """"key"""": """"6"""",
        """"title"""": """"Why Education is Important for Girls"""",
        """"link"""": """"https://www.youtube.com/watch?v=QXjYDEqW1BU""""
      },
      {
        """"key"""": """"7"""",
        """"title"""": """"The Benefits of Multilingual Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=J9wApDxj9Y8""""
      },
      {
        """"key"""": """"8"""",
        """"title"""": """"The Role of Technology in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=49i0aVDaQo4""""
      },
      {
        """"key"""": """"9"""",
        """"title"""": """"Understanding Different Learning Styles"""",
        """"link"""": """"https://www.youtube.com/watch?v=nGuYVNKjQjU""""
      },
      {
        """"key"""": """"10"""",
        """"title"""": """"The Future of Online Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=LKvjIsyYng8""""
      },
      {
        """"key"""": """"11"""",
        """"title"""": """"The Impact of Education on Poverty"""",
        """"link"""": """"https://www.youtube.com/watch?v=b4CS-UVEQzw""""
      },
      {
        """"key"""": """"12"""",
        """"title"""": """"The Montessori Method: A Different Approach to Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=tXez9h9eS9g""""
      },
      {
        """"key"""": """"13"""",
        """"title"""": """"The Benefits of Arts Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=RyH6z5jEmCI""""
      },
      {
        """"key"""": """"14"""",
        """"title"""": """"The Importance of Critical Thinking in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=q2nn2FzqIYc""""
      },
      {
        """"key"""": """"15"""",
        """"title"""": """"The Future of STEM Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=rNqHfEdxPDA""""
      },
      {
        """"key"""": """"16"""",
        """"title"""": """"The Power of Play-Based Learning"""",
        """"link"""": """"https://www.youtube.com/watch?v=wLjY7Af2n4Q""""
      },
      {
        """"key"""": """"17"""",
        """"title"""": """"The Role of Teachers in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=XoF9OVf4a7w""""
      },
      {
        """"key"""": """"18"""",
        """"title"""": """"The Importance of Emotional Intelligence in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=KbVpCcaybEA""""
      },
      {
        """"key"""": """"19"""",
        """"title"""": """"The Benefits of Experiential Learning"""",
        """"link"""": """"https://www.youtube.com/watch?v=9bF1AZ0_Cx8""""
      },
      {
        """"key"""": """"20"""",
        """"title"""": """"The Role of Parents in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=MyStpYRoHNk""""
      },
      {
        """"key"""": """"21"""",
        """"title"""": """"The Impact of Education on Global Development"""",
        """"link"""": """"https://www.youtube.com/watch?v=qhX3x8fl78k""""
      },
      {
        """"key"""": """"22"""",
        """"title"""": """"The Benefits of Project-Based Learning"""",
        """"link"""": """"https://www.youtube.com/watch?v=1AG9jQThOzM""""
      },
      {
        """"key"""": """"23"""",
        """"title"""": """"The Role of Education in Sustainable Development"""",
        """"link"""": """"https://www.youtube.com/watch?v=AJRWq6z5Vr8""""
      },
      {
        """"key"""": """"24"""",
        """"title"""": """"The Importance of Financial Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=jbkSRLYSojo""""
      },
      {
        """"key"""": """"25"""",
        """"title"""": """"The Benefits of Online Learning"""",
        """"link"""": """"https://www.youtube.com/watch?v=9wQoISjEv3Q""""
      },
      {
        """"key"""": """"26"""",
        """"title"""": """"The Role of Education in Promoting Equality"""",
        """"link"""": """"https://www.youtube.com/watch?v=6SwLJkITQV4""""
      },
      {
        """"key"""": """"27"""",
        """"title"""": """"The Importance of Creativity in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=0zj_hjMm0qc""""
      },
      {
        """"key"""": """"28"""",
        """"title"""": """"The Benefits of Physical Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=HMYl_DHzM_I""""
      },
      {
        """"key"""": """"29"""",
        """"title"""": """"The Role of Education in Shaping Identity"""",
        """"link"""": """"https://www.youtube.com/watch?v=mDugV8rS1OI""""
      },
      {
        """"key"""": """"30"""",
        """"title"""": """"The Importance of Early Literacy"""",
        """"link"""": """"https://www.youtube.com/watch?v=78bNwOeLQaM""""
      },
      {
        """"key"""": """"31"""",
        """"title"""": """"The Benefits of Mindfulness in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=QSfS5X9wEKs""""
      },
      {
        """"key"""": """"32"""",
        """"title"""": """"The Role of Education in Fostering Innovation"""",
        """"link"""": """"https://www.youtube.com/watch?v=zx2XMdnnJtA""""
      },
      {
        """"key"""": """"33"""",
        """"title"""": """"The Importance of Inclusive Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=zoWdXsWq7Qs""""
      },
      {
        """"key"""": """"34"""",
        """"title"""": """"The Benefits of Music Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=2bw2nXedq1c""""
      },
      {
        """"key"""": """"35"""",
        """"title"""": """"The Role of Education in Environmental Awareness"""",
        """"link"""": """"https://www.youtube.com/watch?v=ulI2UxRBL0k""""
      },
      {
        """"key"""": """"36"""",
        """"title"""": """"The Importance of Early Intervention in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=_ZwfoedDp5k""""
      },
      {
        """"key"""": """"37"""",
        """"title"""": """"The Benefits of Coding Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=IzNWi-8xYrc""""
      },
      {
        """"key"""": """"38"""",
        """"title"""": """"The Role of Education in Promoting Democracy"""",
        """"link"""": """"https://www.youtube.com/watch?v=6rjERF1tPcw""""
      },
      {
        """"key"""": """"39"""",
        """"title"""": """"The Importance of Cultural Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=LwXM89vZjzA""""
      },
      {
        """"key"""": """"40"""",
        """"title"""": """"The Benefits of Outdoor Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=Kp2a8jp9Xl0""""
      },
      {
        """"key"""": """"41"""",
        """"title"""": """"The Role of Education in Building Resilience"""",
        """"link"""": """"https://www.youtube.com/watch?v=7eRlm-hXymQ""""
      },
      {
        """"key"""": """"42"""",
        """"title"""": """"The Importance of Media Literacy in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=IL7nL2vImbI""""
      },
      {
        """"key"""": """"43"""",
        """"title"""": """"The Benefits of Global Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=YK3ptQhZwkw""""
      },
      {
        """"key"""": """"44"""",
        """"title"""": """"The Role of Education in Conflict Resolution"""",
        """"link"""": """"https://www.youtube.com/watch?v=9fgp6w7lxQ0""""
      },
      {
        """"key"""": """"45"""",
        """"title"""": """"The Importance of Social-Emotional Learning in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=LvAH4KASrm0""""
      },
      {
        """"key"""": """"46"""",
        """"title"""": """"The Benefits of Language Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=3jVi1a1v3gQ""""
      },
      {
        """"key"""": """"47"""",
        """"title"""": """"The Role of Education in Entrepreneurship"""",
        """"link"""": """"https://www.youtube.com/watch?v=b7aZv9DyIuc""""
      },
      {
        """"key"""": """"48"""",
        """"title"""": """"The Importance of Special Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=D3Dg7JJwRi4""""
      },
      {
        """"key"""": """"49"""",
        """"title"""": """"The Benefits of Cooperative Learning"""",
        """"link"""": """"https://www.youtube.com/watch?v=j3w5MOFgkvc""""
      },
      {
        """"key"""": """"50"""",
        """"title"""": """"The Role of Education in Mental Health Awareness"""",
        """"link"""": """"https://www.youtube.com/watch?v=XXPjVv2LJi4""""
      }
    ]"""
history,"""[{
        """"key"""": """"1"""",
        """"title"""": """"The Power of Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=2Yfrj2YhT9E""""
      },
      {
        """"key"""": """"2"""",
        """"title"""": """"How to Learn Anything: The Feynman Technique"""",
        """"link"""": """"https://www.youtube.com/watch?v=_f-qkGJBPts""""
      },
      {
        """"key"""": """"3"""",
        """"title"""": """"The Science of Learning: How We Learn"""",
        """"link"""": """"https://www.youtube.com/watch?v=Kw-Ri-qaYyk""""
      },
      {
        """"key"""": """"4"""",
        """"title"""": """"The Importance of Early Childhood Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=3Tqw_QDRmkE""""
      },
      {
        """"key"""": """"5"""",
        """"title"""": """"The Future of Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=dzcHffDgKvM""""
      },
      {
        """"key"""": """"6"""",
        """"title"""": """"Why Education is Important for Girls"""",
        """"link"""": """"https://www.youtube.com/watch?v=QXjYDEqW1BU""""
      },
      {
        """"key"""": """"7"""",
        """"title"""": """"The Benefits of Multilingual Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=J9wApDxj9Y8""""
      },
      {
        """"key"""": """"8"""",
        """"title"""": """"The Role of Technology in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=49i0aVDaQo4""""
      },
      {
        """"key"""": """"9"""",
        """"title"""": """"Understanding Different Learning Styles"""",
        """"link"""": """"https://www.youtube.com/watch?v=nGuYVNKjQjU""""
      },
      {
        """"key"""": """"10"""",
        """"title"""": """"The Future of Online Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=LKvjIsyYng8""""
      },
      {
        """"key"""": """"11"""",
        """"title"""": """"The Impact of Education on Poverty"""",
        """"link"""": """"https://www.youtube.com/watch?v=b4CS-UVEQzw""""
      },
      {
        """"key"""": """"12"""",
        """"title"""": """"The Montessori Method: A Different Approach to Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=tXez9h9eS9g""""
      },
      {
        """"key"""": """"13"""",
        """"title"""": """"The Benefits of Arts Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=RyH6z5jEmCI""""
      },
      {
        """"key"""": """"14"""",
        """"title"""": """"The Importance of Critical Thinking in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=q2nn2FzqIYc""""
      },
      {
        """"key"""": """"15"""",
        """"title"""": """"The Future of STEM Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=rNqHfEdxPDA""""
      },
      {
        """"key"""": """"16"""",
        """"title"""": """"The Power of Play-Based Learning"""",
        """"link"""": """"https://www.youtube.com/watch?v=wLjY7Af2n4Q""""
      },
      {
        """"key"""": """"17"""",
        """"title"""": """"The Role of Teachers in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=XoF9OVf4a7w""""
      },
      {
        """"key"""": """"18"""",
        """"title"""": """"The Importance of Emotional Intelligence in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=KbVpCcaybEA""""
      },
      {
        """"key"""": """"19"""",
        """"title"""": """"The Benefits of Experiential Learning"""",
        """"link"""": """"https://www.youtube.com/watch?v=9bF1AZ0_Cx8""""
      },
      {
        """"key"""": """"20"""",
        """"title"""": """"The Role of Parents in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=MyStpYRoHNk""""
      },
      {
        """"key"""": """"21"""",
        """"title"""": """"The Impact of Education on Global Development"""",
        """"link"""": """"https://www.youtube.com/watch?v=qhX3x8fl78k""""
      },
      {
        """"key"""": """"22"""",
        """"title"""": """"The Benefits of Project-Based Learning"""",
        """"link"""": """"https://www.youtube.com/watch?v=1AG9jQThOzM""""
      },
      {
        """"key"""": """"23"""",
        """"title"""": """"The Role of Education in Sustainable Development"""",
        """"link"""": """"https://www.youtube.com/watch?v=AJRWq6z5Vr8""""
      },
      {
        """"key"""": """"24"""",
        """"title"""": """"The Importance of Financial Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=jbkSRLYSojo""""
      },
      {
        """"key"""": """"25"""",
        """"title"""": """"The Benefits of Online Learning"""",
        """"link"""": """"https://www.youtube.com/watch?v=9wQoISjEv3Q""""
      },
      {
        """"key"""": """"26"""",
        """"title"""": """"The Role of Education in Promoting Equality"""",
        """"link"""": """"https://www.youtube.com/watch?v=6SwLJkITQV4""""
      },
      {
        """"key"""": """"27"""",
        """"title"""": """"The Importance of Creativity in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=0zj_hjMm0qc""""
      },
      {
        """"key"""": """"28"""",
        """"title"""": """"The Benefits of Physical Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=HMYl_DHzM_I""""
      },
      {
        """"key"""": """"29"""",
        """"title"""": """"The Role of Education in Shaping Identity"""",
        """"link"""": """"https://www.youtube.com/watch?v=mDugV8rS1OI""""
      },
      {
        """"key"""": """"30"""",
        """"title"""": """"The Importance of Early Literacy"""",
        """"link"""": """"https://www.youtube.com/watch?v=78bNwOeLQaM""""
      },
      {
        """"key"""": """"31"""",
        """"title"""": """"The Benefits of Mindfulness in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=QSfS5X9wEKs""""
      },
      {
        """"key"""": """"32"""",
        """"title"""": """"The Role of Education in Fostering Innovation"""",
        """"link"""": """"https://www.youtube.com/watch?v=zx2XMdnnJtA""""
      },
      {
        """"key"""": """"33"""",
        """"title"""": """"The Importance of Inclusive Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=zoWdXsWq7Qs""""
      },
      {
        """"key"""": """"34"""",
        """"title"""": """"The Benefits of Music Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=2bw2nXedq1c""""
      },
      {
        """"key"""": """"35"""",
        """"title"""": """"The Role of Education in Environmental Awareness"""",
        """"link"""": """"https://www.youtube.com/watch?v=ulI2UxRBL0k""""
      },
      {
        """"key"""": """"36"""",
        """"title"""": """"The Importance of Early Intervention in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=_ZwfoedDp5k""""
      },
      {
        """"key"""": """"37"""",
        """"title"""": """"The Benefits of Coding Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=IzNWi-8xYrc""""
      },
      {
        """"key"""": """"38"""",
        """"title"""": """"The Role of Education in Promoting Democracy"""",
        """"link"""": """"https://www.youtube.com/watch?v=6rjERF1tPcw""""
      },
      {
        """"key"""": """"39"""",
        """"title"""": """"The Importance of Cultural Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=LwXM89vZjzA""""
      },
      {
        """"key"""": """"40"""",
        """"title"""": """"The Benefits of Outdoor Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=Kp2a8jp9Xl0""""
      },
      {
        """"key"""": """"41"""",
        """"title"""": """"The Role of Education in Building Resilience"""",
        """"link"""": """"https://www.youtube.com/watch?v=7eRlm-hXymQ""""
      },
      {
        """"key"""": """"42"""",
        """"title"""": """"The Importance of Media Literacy in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=IL7nL2vImbI""""
      },
      {
        """"key"""": """"43"""",
        """"title"""": """"The Benefits of Global Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=YK3ptQhZwkw""""
      },
      {
        """"key"""": """"44"""",
        """"title"""": """"The Role of Education in Conflict Resolution"""",
        """"link"""": """"https://www.youtube.com/watch?v=9fgp6w7lxQ0""""
      },
      {
        """"key"""": """"45"""",
        """"title"""": """"The Importance of Social-Emotional Learning in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=LvAH4KASrm0""""
      },
      {
        """"key"""": """"46"""",
        """"title"""": """"The Benefits of Language Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=3jVi1a1v3gQ""""
      },
      {
        """"key"""": """"47"""",
        """"title"""": """"The Role of Education in Entrepreneurship"""",
        """"link"""": """"https://www.youtube.com/watch?v=b7aZv9DyIuc""""
      },
      {
        """"key"""": """"48"""",
        """"title"""": """"The Importance of Special Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=D3Dg7JJwRi4""""
      },
      {
        """"key"""": """"49"""",
        """"title"""": """"The Benefits of Cooperative Learning"""",
        """"link"""": """"https://www.youtube.com/watch?v=j3w5MOFgkvc""""
      },
      {
        """"key"""": """"50"""",
        """"title"""": """"The Role of Education in Mental Health Awareness"""",
        """"link"""": """"https://www.youtube.com/watch?v=XXPjVv2LJi4""""
      }
    ]"""
music,"""[{
        """"key"""": """"1"""",
        """"title"""": """"The Power of Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=2Yfrj2YhT9E""""
      },
      {
        """"key"""": """"2"""",
        """"title"""": """"How to Learn Anything: The Feynman Technique"""",
        """"link"""": """"https://www.youtube.com/watch?v=_f-qkGJBPts""""
      },
      {
        """"key"""": """"3"""",
        """"title"""": """"The Science of Learning: How We Learn"""",
        """"link"""": """"https://www.youtube.com/watch?v=Kw-Ri-qaYyk""""
      },
      {
        """"key"""": """"4"""",
        """"title"""": """"The Importance of Early Childhood Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=3Tqw_QDRmkE""""
      },
      {
        """"key"""": """"5"""",
        """"title"""": """"The Future of Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=dzcHffDgKvM""""
      },
      {
        """"key"""": """"6"""",
        """"title"""": """"Why Education is Important for Girls"""",
        """"link"""": """"https://www.youtube.com/watch?v=QXjYDEqW1BU""""
      },
      {
        """"key"""": """"7"""",
        """"title"""": """"The Benefits of Multilingual Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=J9wApDxj9Y8""""
      },
      {
        """"key"""": """"8"""",
        """"title"""": """"The Role of Technology in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=49i0aVDaQo4""""
      },
      {
        """"key"""": """"9"""",
        """"title"""": """"Understanding Different Learning Styles"""",
        """"link"""": """"https://www.youtube.com/watch?v=nGuYVNKjQjU""""
      },
      {
        """"key"""": """"10"""",
        """"title"""": """"The Future of Online Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=LKvjIsyYng8""""
      },
      {
        """"key"""": """"11"""",
        """"title"""": """"The Impact of Education on Poverty"""",
        """"link"""": """"https://www.youtube.com/watch?v=b4CS-UVEQzw""""
      },
      {
        """"key"""": """"12"""",
        """"title"""": """"The Montessori Method: A Different Approach to Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=tXez9h9eS9g""""
      },
      {
        """"key"""": """"13"""",
        """"title"""": """"The Benefits of Arts Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=RyH6z5jEmCI""""
      },
      {
        """"key"""": """"14"""",
        """"title"""": """"The Importance of Critical Thinking in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=q2nn2FzqIYc""""
      },
      {
        """"key"""": """"15"""",
        """"title"""": """"The Future of STEM Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=rNqHfEdxPDA""""
      },
      {
        """"key"""": """"16"""",
        """"title"""": """"The Power of Play-Based Learning"""",
        """"link"""": """"https://www.youtube.com/watch?v=wLjY7Af2n4Q""""
      },
      {
        """"key"""": """"17"""",
        """"title"""": """"The Role of Teachers in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=XoF9OVf4a7w""""
      },
      {
        """"key"""": """"18"""",
        """"title"""": """"The Importance of Emotional Intelligence in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=KbVpCcaybEA""""
      },
      {
        """"key"""": """"19"""",
        """"title"""": """"The Benefits of Experiential Learning"""",
        """"link"""": """"https://www.youtube.com/watch?v=9bF1AZ0_Cx8""""
      },
      {
        """"key"""": """"20"""",
        """"title"""": """"The Role of Parents in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=MyStpYRoHNk""""
      },
      {
        """"key"""": """"21"""",
        """"title"""": """"The Impact of Education on Global Development"""",
        """"link"""": """"https://www.youtube.com/watch?v=qhX3x8fl78k""""
      },
      {
        """"key"""": """"22"""",
        """"title"""": """"The Benefits of Project-Based Learning"""",
        """"link"""": """"https://www.youtube.com/watch?v=1AG9jQThOzM""""
      },
      {
        """"key"""": """"23"""",
        """"title"""": """"The Role of Education in Sustainable Development"""",
        """"link"""": """"https://www.youtube.com/watch?v=AJRWq6z5Vr8""""
      },
      {
        """"key"""": """"24"""",
        """"title"""": """"The Importance of Financial Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=jbkSRLYSojo""""
      },
      {
        """"key"""": """"25"""",
        """"title"""": """"The Benefits of Online Learning"""",
        """"link"""": """"https://www.youtube.com/watch?v=9wQoISjEv3Q""""
      },
      {
        """"key"""": """"26"""",
        """"title"""": """"The Role of Education in Promoting Equality"""",
        """"link"""": """"https://www.youtube.com/watch?v=6SwLJkITQV4""""
      },
      {
        """"key"""": """"27"""",
        """"title"""": """"The Importance of Creativity in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=0zj_hjMm0qc""""
      },
      {
        """"key"""": """"28"""",
        """"title"""": """"The Benefits of Physical Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=HMYl_DHzM_I""""
      },
      {
        """"key"""": """"29"""",
        """"title"""": """"The Role of Education in Shaping Identity"""",
        """"link"""": """"https://www.youtube.com/watch?v=mDugV8rS1OI""""
      },
      {
        """"key"""": """"30"""",
        """"title"""": """"The Importance of Early Literacy"""",
        """"link"""": """"https://www.youtube.com/watch?v=78bNwOeLQaM""""
      },
      {
        """"key"""": """"31"""",
        """"title"""": """"The Benefits of Mindfulness in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=QSfS5X9wEKs""""
      },
      {
        """"key"""": """"32"""",
        """"title"""": """"The Role of Education in Fostering Innovation"""",
        """"link"""": """"https://www.youtube.com/watch?v=zx2XMdnnJtA""""
      },
      {
        """"key"""": """"33"""",
        """"title"""": """"The Importance of Inclusive Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=zoWdXsWq7Qs""""
      },
      {
        """"key"""": """"34"""",
        """"title"""": """"The Benefits of Music Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=2bw2nXedq1c""""
      },
      {
        """"key"""": """"35"""",
        """"title"""": """"The Role of Education in Environmental Awareness"""",
        """"link"""": """"https://www.youtube.com/watch?v=ulI2UxRBL0k""""
      },
      {
        """"key"""": """"36"""",
        """"title"""": """"The Importance of Early Intervention in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=_ZwfoedDp5k""""
      },
      {
        """"key"""": """"37"""",
        """"title"""": """"The Benefits of Coding Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=IzNWi-8xYrc""""
      },
      {
        """"key"""": """"38"""",
        """"title"""": """"The Role of Education in Promoting Democracy"""",
        """"link"""": """"https://www.youtube.com/watch?v=6rjERF1tPcw""""
      },
      {
        """"key"""": """"39"""",
        """"title"""": """"The Importance of Cultural Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=LwXM89vZjzA""""
      },
      {
        """"key"""": """"40"""",
        """"title"""": """"The Benefits of Outdoor Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=Kp2a8jp9Xl0""""
      },
      {
        """"key"""": """"41"""",
        """"title"""": """"The Role of Education in Building Resilience"""",
        """"link"""": """"https://www.youtube.com/watch?v=7eRlm-hXymQ""""
      },
      {
        """"key"""": """"42"""",
        """"title"""": """"The Importance of Media Literacy in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=IL7nL2vImbI""""
      },
      {
        """"key"""": """"43"""",
        """"title"""": """"The Benefits of Global Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=YK3ptQhZwkw""""
      },
      {
        """"key"""": """"44"""",
        """"title"""": """"The Role of Education in Conflict Resolution"""",
        """"link"""": """"https://www.youtube.com/watch?v=9fgp6w7lxQ0""""
      },
      {
        """"key"""": """"45"""",
        """"title"""": """"The Importance of Social-Emotional Learning in Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=LvAH4KASrm0""""
      },
      {
        """"key"""": """"46"""",
        """"title"""": """"The Benefits of Language Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=3jVi1a1v3gQ""""
      },
      {
        """"key"""": """"47"""",
        """"title"""": """"The Role of Education in Entrepreneurship"""",
        """"link"""": """"https://www.youtube.com/watch?v=b7aZv9DyIuc""""
      },
      {
        """"key"""": """"48"""",
        """"title"""": """"The Importance of Special Education"""",
        """"link"""": """"https://www.youtube.com/watch?v=D3Dg7JJwRi4""""
      },
      {
        """"key"""": """"49"""",
        """"title"""": """"The Benefits of Cooperative Learning"""",
        """"link"""": """"https://www.youtube.com/watch?v=j3w5MOFgkvc""""
      },
      {
        """"key"""": """"50"""",
        """"title"""": """"The Role of Education in Mental Health Awareness"""",
        """"link"""": """"https://www.youtube.com/watch?v=XXPjVv2LJi4""""
      }
    ]"""
